"theme","quote","attribution","bio","challenge"
"Service","Life's most urgent question is:  What are you doing for others?","Dr. Reverend Martin Luther King, Jr.","A Baptist minister, MLK became a civil rights activist early in his career.  His efforts led to the 1963 March on Washington, where King delivered his 'I Have a Dream' speech.  There, he raised public consciousness of the civil rights movement and established himself as one of the greatest orators in U.S. history.","The Challenge for today is to do two acts of service for others."
"Be Inclusive","As far as I am concerned, the greatest suffering is to feel alone, unwanted, unloved.","Mother Teresa","Mother Teresa was a Roman Catholic nun who founded the Missionaries of Charity in Calcutta, India in 1950.  She was known for her kind heart and avid humanitarianism, as well as her advocacy for the poor and helpless.  For more than 40 years she ministered to the poor, sick, orphaned and dying.  She won the Nobel Peace Prize in 1979 and India's highest civilian honor, the Bharah Ratna, in 1980 for her humanitarian work.","The Challenge for today is to make an effort to include someone who seems left out or alone."
"Friendship","We should behave to our friends the way we wish our friends to behave to us.","Aristotle","Aristotle was a Greek philosopher, a student of Plato and teacher of Alexander the Great.  He is one of the most important founding figures in Western philosophy, encompassing morality and aesthetics, logic and science, politics and metaphysics.  His influence has shaped modern physics as we know it.  His earliest studies were focused on logic which has since played an instrumental role in what scientists now call 'formal logic.","The Challenge for today is to find two ways to love and serve your friends."
"Share Kindness","You cannot do a kindness too soon, for you never know how soon it will be too late.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to look for every opportunity to share love and kindness.  Especially make sure to appreciate the people who have loved and supported you in life."
"Commonalities","I note the obvious differences between each sort and type, but we are more alike, my friends, than we are unalike.","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to notice the differences between people, celebrate our diversity and build on what we all have in common."
"Honesty","Truth has no special time of its own.  Its hour is now -- always.","Albert Schweitzer","Schweitzer was a theologian, musician, philosopher and physician.  He received a Nobel Peace Prize in 1953 for his philosophy of 'reverence for life' for founding and sustaining the Albert Schweitzer Hospital in Gabon in west central Africa.","The Challenge for today is to tell the truth.  Even if it's scary, tell the truth in every situation that arises."
"Share the Burden","Shared joy is a double joy; shared sorrow is half a sorrow.","Swedish Proverb",,"The Challenge for today is to share your joys and your sorrows with people you trust."
"Trust Yourself","If you do not express your own original ideas, if you do not listen to your own being, you will have betrayed yourself.","Rollo May","May was an American existential psychologist.  He authored the influential book Love and Will in 1969.  May is often associated with humanistic psychology, but differs from humanistic psychologists by emphasizing the tragic dimensions of human existence.","The Challenge for today is to be true to yourself and follow your internal guidance."
"Possibility","Become a possibilitarian.  No matter how dark things seem to be or actually are, raise your sights and see possibilities.  Always see them, for they're always there.","Norman Vincent Peale","Peale was a Protestant preacher and author, most notably of the controversial book The Power of Positive Thinking.  He was a progenitor of the theory of 'positive thinking.","The Challenge for today is to have faith in possibility.  Choose an area of your life where you have experienced challenges.  Envision the best possible result."
"Listening","You cannot truly listen to anyone and do anything else at the same time.","M. Scott Peck","Peck was an American psychiatrist and best-selling author.  He is best known for his book The Road Less Traveled which focused on discipline, love and grace.  ","The Challenge for today is to acknowledge the number of conversations during which you are trying to do something else."
"Envy","Envy is based on an incomplete understanding of the other person's situation.","George Chapman","Chapman was an English dramatist, translator and poet.  He has been identified as the rival poet of Shakespeare's sonnets and as an anticipator of the metaphysical poets.  Chapman is best remembered for his translations of Homer's Iliad, Odyssey and Batrachomyomachia.","The Challenge for today is to replace any envy you feel with admiration and choose to celebrate the qualities that make you admire the person."
"Hug Someone","There's something in a simple hug that always warms the heart; it welcomes us back home and makes it easier to part.","Jill Wolf","Wolf is a published author of children's books.  Her credits include Teddy Bears Alphabet Soup, Back to the Future II and Bigfoot Stunts & Action.","The Challenge for today is to offer a hug to at least one person you love or appreciate."
"Equality","All men are created equal.  No matter how hard you try, you can never erase those words.","Harvey Milk","Milk, about whom a biographical film was produced in 2008, was an American politician and the first openly gay man to be elected to public office in in the United States.","The Challenge for today is to think of two ways you can encourage equality around your school campus or community."
"Choose Your Life","About 10% of how we experience our lives is a result of what happens, and about 90% is the result of the way we respond to it.  What if there are no accidents?  What if we can learn and grow from every experience?","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to look for the gift in every experience."
"Permanent Best","The temporary good is enemy to the permanent best.","Bill Wilson","Wilson was primarily known as 'Bill W.,' co-founder of Alcoholics Anonymous, a fellowship of support groups dedicated to helping alcoholics achieve sobriety using Twelve Steps for spiritual growth.","The Challenge for today is to think of one action in your life that you could take in order to be a step closer toward being the best."
"Understanding Why","He who has a 'why' to live can bear almost any 'how.'","Friedrich Nietzsche","Nietzsche was a nineteenth-century German philosopher who wrote critical texts on religion, morality, contemporary culture, philosophy and science.  ","The Challenge for today is to think of two reasons why you want to achieve a pressing goal."
"Role Modeling","As I grow older I pay less attention to what men say.  I just watch what they do.","Andrew Carnegie","Carnegie was a Scottish-born American industrialist, businessman and a major philanthropist.  He built Pittsburgh's Carnegie Steel Company, which eventually merged with other steel companies to become U.S. Steel.  With his wealth he turned to philanthropy and interests in education, founding Carnegie Corporation of New York, Carnegie Endowment for International Peace and Carnegie Mellon University in Pittsburgh.","The Challenge for today is to live up to your word.  Take action on something you have been avoiding or putting off."
"Hatred and Fear","Hatred is never anything but fear.  If you feared no one, you would hate no one.","Hugh Downs","Downs is an Emmy Award-winning television broadcaster best known for his time as co-anchor of the television show 20/20.  ","The Challenge for today is to think of one action in your life that you could take in order to be a closer toward being the best."
"Your Best","When we do the best we can, we never know what miracle is wrought in our life or in the life of another.","Helen Keller","Keller was an American author, activist and lecturer.  She was the first deaf blind person to have graduated from college.  What is less known about Keller was her opposition to war and her campaign for women's suffrage, workers' rights and socialism.","The Challenge for today is to do your best in all you do."
"Aspirations","It takes a lot of courage to show your dreams to someone else.","Erma Bombeck","Bombeck was an American humorist from the 1970s who achieved great popularity for a newspaper column that humorously depicted suburban home life for women.","The Challenge for today is to find someone with whom to share your dreams.  Ask them to match you by sharing theirs."
"Action","Never confuse movement with action.","Ernest Hemingway","Hemingway, an American writer and journalist, was part of the 1920s expatriate community in Paris.  He received the Pulitzer Prize in 1953 for The Old Man and the Sea and the Nobel Prize in Literature in 1954.","The Challenge for today is to think of two actions you can take toward a goal you have in life."
"Share the Love","All you need is love.","John Lennon","John Lennon was an English rock and roll musician, singer, songwriter, artist and peace activist.  He initially gained worldwide recognition for being one of the founding members of the rock group The Beatles.  He was one of  The Beatles' lead vocalists and co-wrote the majority of the band's songs with bassist Paul McCartney.","The Challenge for today is to share your appreciation with three others that you love."
"Mutual Regard","We must seek, above all, a world of peace; a world in which people dwell together in mutual regard.","John F. Kennedy","Kennedy, often referred to by his initials JFK, was the 35th president of the United States, serving from 1961 until his assassination in 1963.  At 43, Kennedy was the youngest elected president and was the only president to have won a Pulitzer Prize. ","The Challenge for today is to do two things to help the people around you feel safe, loved and celebrated."
"Love","Love is a fruit in season at all times, and within reach of every hand.","Mother Teresa","Mother Teresa was a Roman Catholic nun who founded the Missionaries of Charity in Calcutta, India in 1950.  She was known for her kind heart and avid humanitarianism, as well as her advocacy for the poor and helpless.  For more than 40 years she ministered to the poor, sick, orphaned and dying.  She won the Nobel Peace Prize in 1979 and India's highest civilian honor, the Bharah Ratna, in 1980 for her humanitarian work.","The Challenge for today is to share love ?and appreciation with a friend or family member."
"Continuing On","It doesn't interest me to know where you live or how much money you have.  I want to know if you can get up after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children.","Oriah Mountain Dreamer","Mountain Dreamer, born Oriah House, is an author of the inspirational prose-poem and international best-selling books The Invitation, The Dance and The Call:  Discovering Why You Are Here.  She chooses to use her medicine name Mountain Dreamer which was given to her by a Native American shaman with whom she studied.","The Challenge for today is to acknowledge two people who have persevered to help you even though they were 'weary and bruised."
"Past Friends","Some people come into our lives and quickly go.  Some stay for awhile and leave footprints on our hearts, and we are never, ever the same.","Source Unknown",,"The Challenge for today is to think for a moment about the friends who have really changed your life.  Choose two and make sure to let them know how much they have meant to you."
"Dreams","All our dreams can come true if we have the courage to pursue them.","Walt Disney","Disney was a multiple Academy Award-winning American film producer, director, screenwriter, voice actor, animator, entrepreneur and philanthropist.  Disney and his staff created many of the world's most famous fictional characters, including the one many consider Disney's alter ego, Mickey Mouse.","The Challenge for today is to take time to share your dreams with someone you trust to support you in achieving them."
"Looking Out for Others","We are not put on this earth for ourselves, but are placed here for each other.  If you are always there for others, then in time someone will be there for you.","Jeff Warner","Warner is an American professional wrestler, best known under the names J.W. Storm and Maxx Muscle.","The Challenge for today is to look for two opportunities to support others in need."
"Life's Great Illusion","One of life's great illusions is that the present hour is not the critical, decisive hour.  Write it on your heart that each day is the best, the most crucial day of the year.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to bring your very best to every moment, every interaction and every relationship.  The time is now to choose who you will be."
"Character Development","Character grows more in silence than in speech.","Don Jones","Jones has had a long life of spiritual quests, including his 40 years of service as a pastor, leader of the ManKind Project and teacher of seminars in the field of masculine psychology.","The Challenge for today is to think of three character traits you would like to strengthen."
"Wisdom","The heart of a fool is in his mouth, but the mouth of a wise man is in his heart.","Benjamin Franklin","Franklin was one of America's founding fathers as well as a leading author and painter.  He was a satirist, political theorist, politician, scientist, inventor, civic activist and diplomat.  As a scientist he was a major figure in the Enlightenment movement and is most known for his discoveries and theories of electricity.  He invented the lightning rod, bifocals and musical instruments.  He also founded the first fire department in Pennsylvania.","The Challenge today is to share appreciation for two people who have given you wisdom in the past."
"Spread the Light","There are two ways of spreading light: To be the candle or the mirror that reflects it.","Edith Wharton","Born Edith Newbold Jones to a wealthy New York family often associated with the phrase 'keeping up with the Joneses,' Wharton was an American novelist, short story writer and designer.","The Challenge for today is to be the change you want to see.  In one instance today, spread light, positive thoughts and feelings."
"Hugs","A newborn baby can actually die without touch, even if it gets all its other needs met.  While it's unlikely that any of us would die without hugs, why even go there?","Yvonne St. John-Dutra","A mother of four daughters and the co-founder of Challenge Day, a nonprofit organization, St. John has been a visionary for peace and love across the planet for the past 20 years.  Together with her partner and husband, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to reach out and offer hugs to 5 other people.  Remember, with 12 hugs you would have the strength to do whatever you want in this world."
"Be Unique","Remember that you are unique and if that is not fulfilled, then something wonderful has been lost.","Martha Graham","Graham was an American dancer.  She was regarded as one of the foremost pioneers of modern dance.  Graham invented a new language of movement and used it to reveal the passion, the rage and ecstasy common to human experience.  She danced for more 70 years and was the first dancer to ever receive the highest civilian award in the U.S., the Medal of Freedom.","The Challenge for today is to be true to who you are.  What is one unique part of your personality that you can let shine through?"
"Beauty","People are like stained glass windows:  They sparkle and shine when the sun's out, but when the darkness sets in, their true beauty is revealed only if there is light within.","Elizabeth Kubler-Ross","Kubler-Ross was a Swiss-born psychiatrist and the author of groundbreaking books related to death and dying.  She was the recipient of twenty honorary degrees and inducted into the National Women's Hall of Fame.","The Challenge for today is to share gratitude with at least two friends or family members whose beauty you appreciate."
"The Future","There's always one moment in life when the door opens and lets the future in.","Graham Greene","Greene was an English writer best known as a novelist, but who also produced short stories, plays, screenplays, travel writing and criticism.  His works explore the ambivalent moral and political issues of the modern world.  Greene combined serious literary acclaim with wide popularity.","The Challenge for today is to take time to consider your future.  Who is it you choose to be?  When will you decide?"
"Dreams","It is better to lose the battle in a struggle for your dreams, than to be defeated without knowing what you are fighting for.","Paul Coelho","Coelho is a Brazilian lyricist and novelist.  In 1986, he experienced one of the defining moments of his life while walking the 500-plus mile Road of Santiago de Compostela in northwest Spain.  On this ancient highway he achieved a self-awareness and a spiritual awakening.","The Challenge for today is to take at least one intentional step toward creating the life of your dreams.  Think of something you've always wanted to do and do it."
"Learning","Learning without thought is a labor lost.","Confucius","Confucius was a Chinese thinker and social philosopher, whose teachings deeply influenced Chinese, Korean, Japanese and Vietnamese thought and life.  His philosophy emphasized personal and governmental morality, correctness of social relationship, justice and sincerity.  Confucius' thoughts have been developed into a system known as Confucianism.","The Challenge for today is to notice an instance when you choose to act especially thoughtful and curious in every class."
"Creativity","Happiness lies in the joy of achievement and the thrill of creative effort.","Franklin D. Roosevelt","Roosevelt, often referred to by his initials FDR, was the 32nd president of the United States.  He was the only president to serve more than two terms.  During the Great Depression of the 1930s, Roosevelt created the New Deal to provide relief for the unemployed, recovery of the economy and reform of the economic and banking systems.  What is least known about FDR is that he contracted Polio and spent most of his presidency trying to hide his illness from the public eye.","The Challenge for today is to create something inspirational.  It could be a work of art, a poem or a new friendship."
"Purpose","The purpose of life is to discover your gift.  The meaning of life is giving your gift away.","David Viscott","Viscott was an American psychiatrist, author, businessman, and media personality.  He was a graduate of Dartmouth in 1959 and taught at University Hospital in Boston.","The Challenge for today is to generously share a gift or talent with others.  Look for ways to be big-hearted and helpful to people around you."
"The Little Things","What you will do matters.  All you need is to do it.","Judy Grahn, Ph.D.","Grahn is an internationally known American poet, woman-centered cultural theorist and early contributor of woman's spirituality literature.","The Challenge for today is to go the extra mile and do something helpful or nice for someone.  The little things can make a huge difference."
"Satisfaction","He is well paid who is satisfied.","William Shakespeare","Shakespeare was an English poet and playwright, widely regarded as the greatest writer in the English language.  His surviving work consists of 38 plays, 154 sonnets, two long narrative poems and several other poems.  His plays are performed more often than those of any other playwright.","The Challenge for today is to notice three things you appreciate about your life, school and family.  Share what you discover with at least one other person."
"Truth and Light","I am not bound to win, but I am bound to be true.  I am not bound to succeed, but I am bound to live up to the light I have.","Abraham Lincoln","Lincoln was the 16th president of the United States and successfully led his country through its greatest crisis, the Civil War.  As an outspoken opponent of the expansion of slavery, Lincoln helped to preserve the United States by leading a defeat of the Confederate States of America.  With the delivery of his Emancipation Proclamation in 1863, he introduced measures that resulted in the abolition of slavery which prompted the passage of the Thirteenth Amendment to the Constitution.","The Challenge for today is to think of two instances where you didn't win, but you did show truth."
"Education","Education is the most powerful weapon which you can use to change the world.","Nelson Mandela","Mandela is former President of South Africa, the first to be elected in a fully representative democratic election, who held office from 1994-1999 following 27 years in prison.","The Challenge for today is to thank two teachers, coaches or administrators who have helped you gain the power of education."
"Our Deepest Fear","Our deepest fear is not that we are inadequate.  Our deepest fear is that we are powerful beyond measure. ...We ask ourselves, who am I to be brilliant, talented and fabulous?  Actually, who are you not to be?","Marianne Williamson","Williamson is a spiritual activist, author, lecturer and founder of The Peace Alliance, a grass roots campaign supporting legislation currently before Congress to establish a United States Department of Peace.","The Challenge for today is to make two choices that support you in your greatness."
"Be Your Best","Make yourself the greatest, grandest, most wonderful person in the world because this is what you are going to be giving your children and to all you meet.","Leo Buscaglia, Ph.D.","Buscaglia is author of books such as Living, Loving and Learning and Born for Love.  He is a renowned lecturer and University of Southern California professor.  His teachings have given many people insights into how we seek happiness and create loving relationships.","The Challenge for today is to consider two instances where you could act greater, grander or more wonderfully."
"Agreement","Too much agreement kills a chat.","Eldridge Cleaver","Cleaver was an author, most famously of Soul on Ice, and a prominent leader of the Black Panther Party.","The Challenge for today is to think of two instances where you may have differences from your peers and choose a course by which you can respectfully disagree."
"Time is Precious","We spend precious hours fearing the inevitable.  It would be wise to use that time adoring our families, cherishing our friends and living our lives.","Maya Angelou","Angelou is an American poet, memoirist and actress, as well as important figure in the American Civil Rights Movement.  Angelou is known for her series of six autobiographies, of which I Know Why the Caged Bird Sings (1969) is most well known, as well as for her body of poetry.  She was nominated for the Pulitzer Prize.","The Challenge for today is to find twto ways to take time to love and appreciate your friends and family."
"Risk-Taking","And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.","Anais Nin","Nin was a Cuban-French author who became famous for her published journals, which span more than 60 years.","The Challenge for today is to think about a healthy physical or emotional risk that you've avoided.  If it's something you really want...go for it."
"Find Another Way","Never let your head hang down.  Never give up and sit down and grieve.  Find another way.  And don't pray when it rains if you don't pray when the sun shines.","Leroy Paige","Paige, better known as 'Satchel,' was a charismatic pitching star of the Negro Leagues who became the oldest major league rookie a year after Jackie Robinson broke the major league color  barrier.  ","The Challenge for today is look at a problem you've experienced and develop two alternative ways to overcome it."
"Example","Example is not the main thing in influencing others, it's the only thing.","Albert Schweitzer","Schweitzer was a theologian, musician, philosopher and physician. He received a Nobel Peace Prize in 1953 for his philosophy of 'reverence for life' for founding and sustaining the Albert Schweitzer Hospital in Gabon in west central Africa.","The Challenge for today is to consider two ways you set examples for others and ask yourself if they could be improved."
"Take the High Road","There are always two choices.  Two paths to take.  One is easy.  And its only reward is that it's easy.","Source Unknown",,"The Challenge for today is to find an instance to 'take the high road' and take pride in your choice."
"Preparation","Plan your work for today and every day, then, work your plan.","Norman Vincent Peale","Peale was a Protestant preacher and author, most known for the controversial book The Power of Positive Thinking.  He was a progenitor of the theory of 'positive thinking.","The Challenge for today is to create a plan for achieving a goal that you have.  Take at least one step toward obtaining that goal."
"What Lies Within","What lies behind us and what lies before us are tiny matters compared to what lies within us.","Ralph Waldo Emerson","Emerson was an American essayist, philosopher, poet and a leader of the Transcendentalist movement in the early 19th century.  His support for abolitionism late in his life created much controversy, and he was, at times, subject to abuse from crowds.","The Challenge for today is to celebrate who you are.  Find at least 10 things you love about you."
"Leadership","Good leaders inspire people to have confidence in them.  Great leaders inspire people to have confidence in themselves.","Sam Ewing","Ewing was a professional writer, television producer and short story writer.  He spent most of his years producing television series for the San Francisco Bay area.","The Challenge for today is to step up as a leader by encouraging two people through your actions."
"Compassion","Compassion is...a spirituality and a way of living and walking through life.  It is the way we treat all there is in life -- ourselves, our bodies, our imagination and dreams, our neighbors and our enemies.","Matthew Fox","Fox is an American Episcopalian priest and theologian.  He is an exponent of Creation Spirituality, a movement grounded in the mystical philosophies of medieval visionaries such as Meister Eckhart and Thomas Aquinas.","The Challenge for today is to think of a way you can show compassion to yourself, your neighbors and your enemies."
"The Power of No","A 'no' uttered from the deepest conviction is better and greater than a 'yes' merely uttered to please, or what is worse, to avoid trouble.","Mahatma Mohandas K. Gandhi","Gandhi was a major political and spiritual leader of India and the Indian independence movement. He believed in moving the masses by acts of non-violent civil disobedience. His birthday, October 2, is known worldwide as the International Day of Nonviolence.","The Challenge for today is to speak your truth, share your opinion and stand up for what you believe.  Be true to who you are."
"Miracle Moments","There are only two ways to live your life.  One is as though nothing is a miracle.  The other is as though everything is a miracle.","Source Unknown",,"The Challenge for today is to look for everyday miracles, big and little coincidences and magical moments that make life worth living."
"Little Victories","Victory is won not in miles but in inches.  Win a little now, hold your ground and later win a little more.","Louis L'Amour","L'Amour was an American author whose books, primarily Western fiction, remain popular.","The Challenge for today is to think of a goal you would like to accomplish and three little wins you could accomplish to achieve it."
"Agent of Change","In a nation of millions and a world of billions, the individual is still the first and basic agent of change.","Lyndon B. Johnson","Johnson, often referred to as LBJ, was the 36th president of the United States.  A Democrat, Johnson succeeded to the presidency following the assassination of President John F. Kennedy.  He was responsible for legislation that included civil rights laws, Medicare, Medicaid, aid to education, and the 'war on poverty.'  He also escalated U.S. involvement in the Vietnam War.","The Challenge for today is to do your part and make the difference you can make.  Be an agent of change."
"Power","Nearly all men can stand adversity, but if you want to test a man's character, give him power.","Abraham Lincoln","Lincoln was the 16th president of the United States and successfully led his country through its greatest crisis, the Civil War.  As an outspoken opponent of the expansion of slavery, Lincoln helped to preserve the United States by leading a defeat of the Confederate States of America.  With the delivery of his Emancipation Proclamation in 1863, he introduced measures that resulted in the abolition of slavery which prompted the passage of the Thirteenth Amendment to the Constitution.","The Challenge for today is to stay conscious of how you use your power and influence.  Are you making good choices?"
"Pain","Pain is temporary.  It may last a minute, or an hour, or a day, or a year, but eventually it will subside and something else will take its place.  If I quit, however, it lasts forever.","Lance Armstrong","Armstrong is an American road racing cyclist who has won the Tour de France a record-breaking seven consecutive times despite overcoming cancer during his career.","The Challenge for today is to share with another person about two instances where you wanted to quit, but kept moving forward."
"Popularity","I don't want everyone to like me; I should think less of myself if some people did.","Henry James","James was a U.S.-born British author who is known for his novels and short narratives including The Turn of the Screw, a ghost story which has lent itself to operatic and film adaptation.","The Challenge for today is to think of a way you have struggled to please others in your past and ask yourself how you could approach that situation differently today."
"Courage","You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face. You must do the thing you cannot do.","Eleanor Roosevelt","Roosevelt was the First Lady of the United States from 1933 to 1945.  She supported the New Deal policies of her husband, President Franklin D. Roosevelt, and assumed a role as an advocate for civil rights.  Roosevelt was also instrumental in the forming of the U.N. Association of the United States to advance the formation of the United Nations.","The Challenge for today is to face your fear.  Do something you have been putting off or have been afraid to do."
"Radical Kindness","A little kindness can go a long way.  Even a small act of kindness can make a person's day or even save a life!  Why not make kindness cool?  We all have the power to be a part of the solution.","Rich Dutra-St. John","The father of four daughters and co-founder of Challenge Day, Dutra's vision for the planet is to create a world where every child feels safe, loved, and celebrated.  Together with his partner and wife, they have launched the Be the Change Movement, which teaches youth and their communities to follow the words of Mahatma Gandhi, 'You must be the change you wish to see in the world.","The Challenge for today is to look for any opportunity to share an act of kindness.  Try it and see how you feel."
"Life","Life is change.  Growth is optional.  Choose wisely.","Karen Kaiser Clark","Clark is an engaging speaker who has been a source of inspiration, humor, hope and healing for audiences for more than 25 years.  She is known for her ability to entertain and empower her listeners.","The Challenge for today is to make only choices that feed your heart, growth and passion."
"Consequences","I have learned this:  it is not what one does that is wrong, but what one becomes as a consequence of it.","Oscar Wilde","Wilde, who died in 1900, was an Irish playwright, poet and author of numerous short stories and one novel.  He was known for his biting wit and his play 'The Importance of Being Earnest' is still widely performed today.","The Challenge for today is to think of two situations when not being right was okay."
"Play","In playing, and perhaps only in playing, the child or adult is free to be creative.","Donald William Winnicott","Donald William Winnicott was a pediatrician and psychoanalyst who used his experience with children to develop his innovative ideas including his concept that a child must have a relationship to a real, influential parent.","The Challenge for today is to allow yourself the gift of being childlike.  Play, create and try something new."
"Follow Your Heart","In the heart of each of us, there is a voice of knowing a song or a story that can remind us of what we most value and long for, what we have known since we were a child.","Jack Kornfield","Kornfield was trained as a Buddhist monk in Thailand, Burma and India and has taught meditation worldwide since 1974.","The Challenge for today is to listen to the song in your heart.  What is it you are here to do?  What are you passionate about?  Take time to really notice."
"Being Ordinary","It is extraordinary how extraordinary the ordinary person is.","George F. Will","Will is a Pulitzer Prize-winning conservative American newspaper columnist, journalist and author.","The Challenge for today is to think of three ways your ordinariness makes you extraordinary."
"Greatness","I've often said the only thing standing between me and greatness is me.","Woody Allen","Allen is a three time Academy Award-winning American film director, screenwriter, actor, comedian, musician and playwright.  ","The Challenge for today is to think of two ways you stand in the way of your own greatness. "
"Not Knowing","I do not know what I do not know.","Ludwig Wittgenstein","Wittgenstein was an Austrian-British philosopher who worked primarily in logic and the philosophies of mathematics, the mind and language.  ","The Challenge for today is to think of two things that you know are true."
"Look for the Good","Wise men count their blessings; fools their problems.'         ","Anonymous",,"The Challenge for today is to count five of your blessings and invite two others to do the same."
"Education","A child mis-educated is a child lost.","John F. Kennedy","Kennedy, often referred to by his initials JFK, was the 35th president of the United States, serving from 1961 until his assassination in 1963.  At 43, Kennedy was the youngest elected president and was the only president to have won a Pulitzer Prize.","The Challenge for today is to make the most of every chance you have to learn.  Ask questions, challenge ideas and take responsibility for getting the most out of your day."
